,type_appartement,nombre_pièces,nombre_chambres,surface,étage,terasse,ascenceur,prix_achat,credit,localisation,description
0,Appartement,4,2,104.0,,non défini,non défini,499000,2065,Lyon 3ème,La Guillotière Nord
1,Appartement,3,2,72.0,,non défini,non défini,449505,1861,Lyon 1er,Terreaux
2,Appartement,5,4,99.0,,non défini,non défini,410000,1699,Lyon 8ème,Transvaal
3,Appartement,3,2,61.0,,non défini,non défini,437000,1810,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
4,Appartement,4,3,129.0,,non défini,non défini,725000,2997,Lyon 7ème,"CHARME DE L'ANCIEN pour cet appartement de 129m² ! Secteur Guillotière - Idéalement situé à deux pas des berges du Rhône, à p"
5,Appartement,5,4,130.0,,non défini,non défini,1350000,5572,Lyon 6ème,Tête d'Or-Foch-Vitton
6,Appartement,3,2,69.0,,non défini,non défini,420000,1740,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
7,Appartement,4,3,86.0,,non défini,non défini,417000,1727,Lyon 3ème,Villette
8,Appartement,4,3,150.0,,non défini,non défini,749000,3095,Lyon 9ème,Vaise-Rochecardon-Industrie
9,Appartement,4,3,93.0,,non défini,non défini,345000,1431,Lyon 8ème,États-Unis
10,Appartement,2,1,47.0,,non défini,non défini,339000,1406,Lyon 1er,Croix Paquet
11,Appartement,4,3,94.0,,non défini,non défini,494400,2046,Lyon 4ème,Croix Rousse-Centre
12,Appartement,6,5,218.0,,non défini,non défini,1750000,7220,Lyon 2ème,Perrache-Le Confluent
13,Appartement,4,3,81.0,,non défini,non défini,364000,1509,Lyon 3ème,Villette
14,Appartement,2,1,57.0,,non défini,non défini,215000,895,Lyon 8ème,États-Unis
15,Appartement,2,1,72.0,,non défini,non défini,289000,1200,Lyon 1er,Croix Paquet
16,Appartement,2,1,52.0,,non défini,non défini,259000,1076,Lyon 5ème,Champvert-Point du Jour-Saint Irénée
17,Appartement,4,3,123.0,,non défini,non défini,675000,2790,Lyon 7ème,Jean Macé
18,Appartement,2,1,74.0,,non défini,non défini,316800,1314,Lyon 3ème,Montchat
19,Appartement,4,3,83.0,,non défini,non défini,349000,1447,Lyon 3ème,Seulement chez Liberkeys. Appartement 4 pièces de 83.1m² avec balcon | Rue François Gillet | Lyon ** Visite virtuelle dispo
20,Appartement,4,2,71.0,,non défini,non défini,685000,2832,Lyon 4ème,Croix Rousse-Centre
21,Appartement,3,2,98.0,,non défini,non défini,559000,2312,Lyon 1er,Terreaux
22,Appartement,3,2,65.0,,non défini,non défini,335000,1389,Lyon 9ème,Vaise-Rochecardon-Industrie
23,Appartement,3,2,82.0,,non défini,non défini,399000,1653,Lyon 9ème,Vaise-Rochecardon-Industrie
24,Appartement,4,3,87.0,,non défini,non défini,325000,1348,Lyon 9ème,Saint Rambert
25,Appartement,2,1,52.0,,non défini,non défini,259000,1076,Lyon 1er,Croix Paquet
26,Appartement,7,5,193.0,,non défini,non défini,1290000,5325,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
27,Appartement,3,2,69.0,,non défini,non défini,340000,1410,Lyon 7ème,Gerland
28,Appartement,2,1,52.0,,non défini,non défini,259000,1076,Lyon 2ème,Perrache-Le Confluent
29,Appartement,4,1,85.0,,non défini,non défini,470000,1946,Lyon 1er,Saint Vincent
30,Appartement,5,3,146.0,,non défini,non défini,1050000,4336,Lyon 2ème,Cordeliers-Célestins-Bourse
31,Appartement,3,2,66.0,,non défini,non défini,319000,1324,Lyon 9ème,Vaise-Rochecardon-Industrie
32,Appartement,3,1,67.0,,non défini,non défini,450000,1863,Lyon 2ème,Perrache-Le Confluent
33,Appartement,4,3,82.0,,non défini,non défini,325000,1348,Lyon 9ème,Saint Rambert
34,Appartement,2,1,45.0,,non défini,non défini,195000,813,Lyon 3ème,Villette
35,Appartement,5,3,154.0,,non défini,non défini,1180000,4871,Lyon 6ème,Tête d'Or-Foch-Vitton
36,Appartement,5,4,98.0,,non défini,non défini,270000,1122,Lyon 5ème,Point du Jour-Ménival
37,Appartement,4,3,92.0,,non défini,non défini,760000,3141,Lyon 8ème,Monplaisir-Le Bachut
38,Appartement,5,4,130.0,,non défini,non défini,695000,2873,Lyon 1er,Saint Vincent
39,Appartement,5,3,104.0,,non défini,non défini,449000,1859,Lyon 3ème,Montchat
40,Appartement,3,2,78.0,,non défini,non défini,358000,1484,Lyon 3ème,Villette
41,Appartement,5,3,150.0,,non défini,non défini,1025000,4233,Lyon 3ème,Part Dieu
42,Appartement,4,2,84.0,,non défini,non défini,595000,2461,Lyon 2ème,Cordeliers-Célestins-Bourse
43,Appartement,4,3,77.0,,non défini,non défini,440000,1822,Lyon 3ème,Villette
44,Appartement,5,3,136.0,,non défini,non défini,1790000,7385,Lyon 2ème,Bellecour-Ainay
45,Appartement,3,2,66.0,,non défini,non défini,363000,1505,Lyon 4ème,Croix Rousse-Centre
46,Appartement,2,1,46.0,,non défini,non défini,315000,1307,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
47,Appartement,3,2,96.0,,non défini,non défini,275000,1142,Lyon 8ème,La Plaine
48,Appartement,4,2,91.0,,non défini,non défini,565000,2337,Lyon 5ème,Fourvière-Saint Just
49,Appartement,4,2,104.0,,non défini,non défini,499000,2065,Lyon 3ème,La Guillotière Nord
50,Appartement,3,2,72.0,,non défini,non défini,449505,1861,Lyon 1er,Terreaux
51,Appartement,5,4,99.0,,non défini,non défini,410000,1699,Lyon 8ème,Transvaal
52,Appartement,3,2,61.0,,non défini,non défini,437000,1810,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
53,Appartement,4,3,129.0,,non défini,non défini,725000,2997,Lyon 7ème,"CHARME DE L'ANCIEN pour cet appartement de 129m² ! Secteur Guillotière - Idéalement situé à deux pas des berges du Rhône, à p"
54,Appartement,4,3,98.0,,non défini,non défini,180000,751,Rillieux-la-Pape,Leclerc
55,Appartement,5,3,130.0,,non défini,non défini,570000,2358,Tassin-la-Demi-Lune,Tassin le Bourg
56,Appartement,6,5,218.0,,non défini,non défini,1750000,7220,Lyon 2ème,Perrache-Le Confluent
57,Appartement,4,3,87.0,,non défini,non défini,420000,1740,Écully,Le-Perollier
58,Appartement,3,2,69.0,,non défini,non défini,420000,1740,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
59,Appartement,3,2,78.0,,non défini,non défini,530000,2193,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
60,Appartement,4,2,106.0,,non défini,non défini,580000,2399,Lyon 4ème,Croix Rousse-Centre
61,Appartement,6,4,181.0,,non défini,non défini,1250000,5160,Lyon 3ème,Part Dieu
62,Appartement,3,2,66.0,,non défini,non défini,319000,1324,Lyon 1er,Croix Paquet
63,Appartement,2,1,60.0,,non défini,non défini,209000,870,Lyon 5ème,Champvert-Point du Jour-Saint Irénée
64,Appartement,2,1,52.0,,non défini,non défini,259000,1076,Lyon 4ème,Croix Rousse-Gros Caillou
65,Appartement,3,2,72.0,,non défini,non défini,340000,1410,Lyon 4ème,Croix Rousse-Centre
66,Appartement,5,3,170.0,,non défini,non défini,940000,3882,Lyon 1er,Croix Paquet
67,Appartement,3,2,61.0,,non défini,non défini,349400,1449,Lyon 7ème,Gerland
68,Appartement,2,1,53.0,,non défini,non défini,291700,1211,Lyon 7ème,"SUPER EMPLACEMENT ! A Lyon 7, venez découvrir ce beau T2 de 54 m² très lumineux situé à 300 m du métro Jean-Macé et à proximi"
69,Appartement,5,4,117.0,,non défini,non défini,800000,3306,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
70,Appartement,3,2,74.0,,non défini,non défini,388000,1608,Lyon 5ème,Point du Jour-Ménival
71,Appartement,3,2,68.0,,non défini,non défini,415000,1719,Lyon 8ème,Monplaisir-Le Bachut
72,Appartement,3,2,69.0,,non défini,non défini,442000,1830,Lyon 5ème,Fourvière-Saint Just
73,Appartement,5,4,131.0,,non défini,non défini,650000,2687,Lyon 4ème,Plateau de la Croix Rousse-Saône
74,Appartement,3,2,71.0,,non défini,non défini,430000,1781,Lyon 2ème,EXCLUSIVITÉ. LYON 1 rue des Capucins. Olivia Marrel vous propose ce T3 de 71 m² dans un immeuble ancien. Vaste pièce de vie a
75,Appartement,4,3,80.0,,non défini,non défini,525000,2172,Lyon 7ème,Gerland
76,Appartement,2,2,54.0,,non défini,non défini,350000,1451,Lyon 2ème,Perrache-Le Confluent
77,Appartement,4,3,77.0,,non défini,non défini,460000,1905,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
78,Appartement,4,3,92.0,,non défini,non défini,499500,2067,Lyon 3ème,Sans Souci-Dauphiné
79,Appartement,6,4,242.0,,non défini,non défini,1795000,7406,Lyon 2ème,Cordeliers-Célestins-Bourse
80,Appartement,3,2,65.0,,non défini,non défini,350000,Chavril,Contenu sponsorisé,Exclusivité
81,Appartement,3,2,65.0,,non défini,non défini,442000,1830,Lyon 5ème,Fourvière-Saint Just
82,Appartement,3,2,77.0,,non défini,non défini,515000,2131,Lyon 3ème,Part Dieu
83,Appartement,3,2,83.0,,non défini,non défini,315000,1307,Lyon 7ème,La Guillotière Sud
84,Appartement,2,1,32.0,,non défini,non défini,230000,957,Lyon 4ème,Croix Rousse-Centre
85,Appartement,3,2,96.0,,non défini,non défini,575000,2378,Lyon 1er,Croix Paquet
86,Appartement,2,1,45.0,,non défini,non défini,297000,1233,Lyon 9ème,Gorge du Loup-Champvert
87,Appartement,4,3,94.0,,non défini,non défini,565000,2337,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
88,Appartement,2,2,40.0,,non défini,non défini,209000,870,Lyon 3ème,"IDÉAL Premier achat et Investisseur. À proximité de toutes les commodités, au pied des transports en commun (Bus, tram T3) et"
89,Appartement,3,2,70.0,,non défini,non défini,329000,1365,Lyon 9ème,Vaise-Rochecardon-Industrie
90,Appartement,1,,26.0,7,non défini,non défini,159500,666,Lyon 1er,Terreaux
91,Appartement,3,2,90.0,,non défini,non défini,618000,2556,Lyon 5ème,Vieux Lyon
92,Appartement,3,2,61.0,,non défini,non défini,262000,1089,Lyon 8ème,"RESEAU OUEST IMMO - vous propose sur la commune de Villeurbanne, à proximité des commerces, écoles et des transports en commu"
93,Appartement,2,1,44.02,,non défini,non défini,215000,MétroCuire,Contenu sponsorisé,Exclusivité
94,Appartement,2,1,51.0,,non défini,non défini,240000,998,Lyon 5ème,Fourvière-Saint Just
95,Appartement,3,2,102.0,,non défini,non défini,570000,2358,Lyon 2ème,Bellecour-Ainay
96,Appartement,1,,19.0,2,non défini,non défini,98000,413,Lyon 7ème,"A Lyon 7, vous trouverez un studio meublé et équipé de 19 m², dans une résidence étudiante. Logement éligible LMNP et loyer n"
97,Appartement,2,1,72.0,,non défini,non défini,395000,1637,Lyon 6ème,Tête d'Or-Foch-Vitton
98,Appartement,1,,18.0,,non défini,non défini,108000,454,Lyon 5ème,"L AGENT IMMOBILIER vous propose, sur STE FOY LES LYON, limite 5earrondissement, dans une belle résidence de standing arborée"
99,Appartement,2,1,40.0,,non défini,non défini,279000,1159,Lyon 3ème,Part Dieu
100,Appartement,2,1,56.0,,non défini,non défini,220000,916,Lyon 8ème,"IDÉAL PRIMO ACCÉDANTS !!. Idéalement situé avec toutes commodités au pieds d'une copropriété sécurisé et calme, venez découvr"
101,Appartement,4,3,98.0,,non défini,non défini,494000,2045,Lyon 3ème,Villette
102,Appartement,3,2,62.0,,non défini,non défini,417000,1727,Lyon 3ème,Keymex Immobilier et Philippe KERJOLIS vous proposent à la vente ce charmant appartement de 64 m² (superficie totale) de type
103,Appartement,2,1,46.0,,non défini,non défini,288000,1196,Lyon 9ème,Gorge du Loup-Champvert
104,Appartement,5,3,140.0,,non défini,non défini,895000,3697,Lyon 7ème,La Guillotière Sud
105,Appartement,4,3,100.0,,non défini,non défini,600000,2481,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
106,Appartement,3,2,72.0,,non défini,non défini,445000,1843,Lyon 4ème,"RARE: A moins de 10 mn du métro Hénon, Charmant Rez-de-jardin de 72,48 m², niché dans une petite résidence calme et intimiste"
107,Appartement,1,,20.0,,non défini,non défini,144200,603,Lyon 9ème,"A saisir ! Studio loué 507 € + 35 € de charges en plein coeur de Lyon Vaise. Idéalement situé à 2 pas de la place Valmy, à pr"
108,Appartement,1,,26.0,,non défini,non défini,154500,646,Lyon 9ème,A saisir Spécial investisseurs ! Studio de 26m² loué 473 € + 30 € de charges en plein coeur de Lyon Vaise Secteur Place Valmy
109,Appartement,3,2,51.0,,non défini,non défini,360500,1495,Lyon 1er,"A SAISIR Appartement composé de deux studios ! Studio de 31 m², loué 530 € + 30 € de charges, situé au 1er étage, à deux pas"
110,Appartement,4,3,90.0,,non défini,non défini,599000,2477,Lyon 6ème,Beau T4 rénové de 90 m² situé dans un immeuble 1900 entretenu avec ascenseur. Belle pièce de vie avec cuisine US équipée de
111,Appartement,3,2,98.0,,non défini,non défini,390000,1616,Lyon 1er,"EXCLUSIVITÉ CROIX-ROUSSE RAVISSANT LOFT VUE D'EXCEPTION. Secteur rue des Fantasques, immeuble 1890 en excellent état avec asc"
112,Appartement,2,1,42.0,,non défini,non défini,368000,1525,Lyon 4ème,Croix-Rousse Immobilier vous invite à venir découvrir un appartement de type 2 situé dans un immeuble de standing de la Rue R
113,Appartement,2,1,42.0,,non défini,non défini,349000,1447,Lyon 1er,"RARE / Croix Rousse Immobilier vous enmène à 100 m de la Place Croix Rousse et de l'esplanade du Gros Caillou, dans cette rés"
114,Appartement,4,3,77.0,,non défini,non défini,400000,1657,Lyon 9ème,T4 AVEC VUE SAONE QUAI DU COMMERCE GARAGE - Lyon 9ème Appartement de T4 de 77 M² avec vue magnifique sur la saône. Très bell
115,Appartement,2,1,45.0,,non défini,non défini,249500,1037,Lyon 6ème,"T2 d'environ 45.36m² dont une mezzanine d'environ 8.5m² hors loi Carrez. - ImmosQuare Lyon vous propose Rue Crillon, dans un"
116,Appartement,3,2,65.0,,non défini,non défini,350000,Chavril,Contenu sponsorisé,Exclusivité
117,Appartement,1,,16.0,5,non défini,non défini,103000,433,Lyon 9ème,"A SAISIR ! Appartement de 16 m² à rénover et à réagencer, loué 424 € + 27 € de charges, dans une copropriété de 13 lots au de"
118,Appartement,2,1,32.0,,non défini,non défini,164800,688,Lyon 9ème,"A SAISIR ! Appartement T1 de 32 m², loué 500 € + 28 € de charges, situé au rez-de-chaussée, avec porte d ? Entrée sur rue, 2"
119,Appartement,1,,20.0,,non défini,non défini,133900,561,Lyon 9ème,"A SAISIR ! Studio de 20 m², loué 475 € + 28 € de charges, situé au 2ème étage, à deux pas de la place Valmy, des bus et métro"
120,Appartement,1,,23.0,,non défini,non défini,200000,833,Lyon 4ème,"Croix-Rousse Immobilier vous invite à venir découvrir ce bel appartement type 1 de 23,50 m². Situé dans un immeuble standing"
121,Appartement,2,1,61.0,,non défini,non défini,322000,1336,Lyon 7ème,"Secteur GAMBETTA Rue de MARSEILLE a 3 minutes des berges du Rhône, et en prise directe de la place BELLECOUR, commerce métro"
122,Appartement,5,4,103.0,,non défini,non défini,470000,1946,Lyon 8ème,T5 4 chambres avec 23m² de terrasse à vivre et un garage en sous-sol ! - ImmosQuare Lyon vous propose à moins de 300 mètres d
123,Appartement,4,3,126.0,,non défini,non défini,597000,2469,Lyon 4ème,"A deux pas du métro Croix-Paquet, spacieux appartement CANUT, entièrement rénové, de 126 m² (104,15 m² carrez) avec possibili"
124,Appartement,4,2,130.0,,non défini,non défini,795000,3285,Lyon 3ème,Dans un immeuble de Standing en étage élevé appartement T4 baigné de soleil avec 2 balcons terrasses et un garage. Vous entre
125,Appartement,3,2,71.0,,non défini,non défini,477000,1975,Lyon 1er,"Quai Saint- Vincent. Possibilité pour profession libérale Bel Immeuble de 1850. Calme absolu. 70,68 m² carrez. Lumineux. 3ème"
126,Appartement,4,3,88.0,,non défini,non défini,595000,2461,Lyon 2ème,"LYON 2 en EXCLUSIVITÉ - Bel appartement bourgeois de 87.5 m². Situé au 2ème étage d'un immeuble classé, avec ascenseur et ra"
127,Appartement,2,1,53.0,,non défini,non défini,399000,1653,Lyon 2ème,"Lyon 2, rue Vaubecour dans le quartier très prisé d'Ainay, au 4ème et dernier étage d'un bel immeuble ancien, superbe apparte"
128,Appartement,4,3,97.0,,non défini,non défini,790000,3264,Lyon 2ème,Lyon 2ème CORDELIERS - Au 3ème étage d'un magnifique immeuble ancien aux parties communes entretenues - Appartement de 97m² e
129,Appartement,3,2,58.73,,non défini,non défini,192000,Montessuy,Contenu sponsorisé,Exclusivité
130,Appartement,5,4,200.0,,non défini,non défini,1950000,8044,Lyon 4ème,"Situé en plein coeur de Caluire dans un cadre prestigieux et sécurisé, à proximité immédiate du métro, au sein d'une magnifiq"
131,Appartement,1,,37.0,,non défini,oui,255000,1060,Lyon 4ème,"Lyon 4 Croix Rousse studio de standing entièrement rénové, en 2ème étage avec une vue dégagée. Pièce de vie de 33,89 m² inond"
132,Appartement,4,3,90.0,,non défini,non défini,399000,1653,Lyon 9ème,"Situé sur le plateau de St Rambert, proche des commerces, appartement T4 comprenant une cuisine, une salle de bain, une pièce"
133,Appartement,4,3,85.0,,non défini,non défini,334900,1389,Lyon 3ème,LYON 3ème à 2 mn à pied de l'école Charles de Foucault et du Parc Bazin. Petite copropriété très bien entretenue avec un gran
134,Appartement,4,3,90.0,,non défini,non défini,399000,1653,Lyon 9ème,"Situé sur le plateau de St Rambert, proche des commerces, appartement T4 comprenant une cuisine, une salle de bain, une pièce"
135,Appartement,5,4,110.0,,non défini,non défini,251000,1043,Lyon 8ème,EXCLUSIVITÉ AQUIZIO IMMOBILIER ! T5 DE 110M² - PROCHE TRAMWAY T4 ET COMMODITÉS - EN ÉTAGE ÉLEVÉ - LUMINEUX - SANS VIS À VIS.
136,Appartement,3,2,84.0,,non défini,non défini,665000,2749,Lyon 6ème,"LYON 6, emplacement idéal dans un immeuble de standing avec ascenseur pour ce très beau T3 de 85 m² traversant entièrement ré"
137,Appartement,5,4,158.0,,non défini,non défini,549000,2271,Lyon 1er,Très Beau triplex développant 158 m² utiles dans le quartier recherché des pentes de la Croix Rousse à proximité immédiate de
138,Appartement,2,1,39.0,,non défini,non défini,250000,1039,Lyon 7ème,"Entre la place Raspail et la place Ollier - Superbe appartement T2 en duplex, entièrement rénové avec goût et de très belles"
139,Appartement,4,3,175.0,,non défini,non défini,1250000,5160,Lyon 2ème,Magnifique appartement traversant Est/Ouest de 175 m² carrez dans un bel immeuble de 1850 quartier République/Bellecour en ét
140,Appartement,7,5,180.0,,non défini,non défini,920000,3800,Lyon 7ème,UNIQUE LYON7 !! C'est à quelques pas de Jean Macé que vous découvrirez ce très spacieux appartement de 180m². Une large entré
141,Appartement,4,3,113.0,,non défini,non défini,770000,3182,Lyon 2ème,"EXCLUSIVITÉ - QUAI SAINT-ANTOINE, dans immeuble historique 17ème, au calme, magnifique appartement T4 calme et atypique de 93"
142,Appartement,4,3,108.0,,non défini,non défini,458000,1896,Lyon 3ème,"Quelle vue ! Aucun vis à vis, la nature et la ville à vos pieds pour cet appartement familial situé dans le très recherché qu"
143,Appartement,2,1,48.0,,non défini,non défini,269500,1120,Lyon 4ème,"Lyon 4, au coeur de la Croix Rousse, sur le Boulevard, Lyon 3 Immo vous propose ce T2 d'environ 48 m² dans la résidence avec"
144,Appartement,4,2,113.0,,non défini,non défini,749000,3095,Lyon 2ème,"Appartement ancien place Carnot. 3ème étage avec ascenseur, 113 m² - 2 grandes chambres, possibilité chambre d'appoint. T"
145,Appartement,3,2,71.0,,non défini,non défini,477000,1975,Lyon 2ème,"Lyon 1er. Quai Saint- Vincent. Possibilité pour profession libérale Bel Immeuble de 1850. Calme absolu. 70,68 m² carrez. Lumi"
146,Appartement,4,3,115.0,,non défini,non défini,835000,3450,Lyon 2ème,EXCLUSIVITÉ !! LYON2 Ainay C'est au coeur du très prisé quartier d'Ainay que vous découvrirez cet appartement typique du quar
147,Appartement,4,3,88.0,,non défini,non défini,550000,2275,Lyon 2ème,"EXCLUSIVITÉ LYON 2 - Bel appartement bourgeois d'environ 88 m².(carrez 87,5 m²) Situé au 2ème étage d'un immeuble classé, ave"
148,Appartement,5,3,150.0,,non défini,non défini,1025000,4233,Lyon 3ème,TRÈS RARE !! LYON 3 PRÉFECTURE !! C'est dans un très bel immeuble de type Haussmannien que vous découvrirez ce splendide appa
149,Appartement,7,5,210.0,,non défini,non défini,1195000,4933,Lyon 1er,"Presqu'île, en face de Lyon 6, tout Proche de l'opéra de Lyon, sur les quais du Rhône, vous devriez tomber sous le charme de"
150,Appartement,4,3,138.0,,non défini,non défini,840000,3470,Lyon 3ème,"AVENUE DE SAXE, très bel appartement 138 m² au 4ème étage avec ascenseur, dans immeuble de très bon standing, beaucoup de cac"
151,Appartement,1,,43.0,4,non défini,non défini,205000,854,Lyon 3ème,"MÉTROPOLE Immobilier vous propose, en EXCLUSIVITÉ, ce studio de 43 m² avec mezzanine vendu LOUE. Cet appartement situé en rez"
152,Appartement,5,3,166.0,,non défini,non défini,1020000,4212,Lyon 2ème,"Lyon 2 AINAY: rue VAUBECOUR, les abeilles vous présentent en EXCLUSIVITÉ dans un immeuble de style Hausmmannien, un très bel"
153,Appartement,5,3,95.0,,non défini,non défini,420000,1740,Lyon 3ème,"Nouveau, rue Baraban. Groupe Lancelot Immobilier vous propose, en exclusivité, un appartement de 95 m² en bon état, situé au"
154,Appartement,4,3,120.0,,non défini,non défini,995000,4109,Lyon 2ème,"EXCLUSIVITÉ !! LYON 2 C'est au coeur de la Presqu'île avec un voisin aussi prestigieux que le théâtre des Célestins, que vous"
155,Appartement,3,2,65.0,,non défini,non défini,350000,Chavril,Contenu sponsorisé,Exclusivité
156,Appartement,2,1,37.0,,non défini,non défini,350000,1451,Lyon 2ème,CORDELIERS - Au 5ème et dernier étage d'un magnifique immeuble ancien aux parties communes entretenues - Appartement d'angle
157,Appartement,1,,20.0,,non défini,non défini,175000,730,Lyon 7ème,Entre place Raspail et place Ollier - Pour location très courte durée type AirBnB - Loué 2300€/mois - Bel appartement de 20m²
158,Appartement,3,2,56.0,,non défini,non défini,296000,1229,Lyon 9ème,"LYON 9, secteur Valmy: Chaleureux T3 de 56 m² situé au 1er étage d'un immeuble de 2005. Il se compose d'une entrée, séjour et"
159,Appartement,3,2,67.0,,non défini,non défini,410000,1699,Lyon 6ème,"Exclusivité PRUVOST- Lyon 6e Rue Sully, tout proche du Parc, dans un très bon immeuble, venez visiter cet agréable T3 de 67 m"
160,Appartement,6,5,157.0,,non défini,non défini,1090000,4501,Lyon 6ème,"Lyon 6: proximité Parc de la tête d'or, dans un immeuble de standing bien entretenu T6 climatisé en étage élevé, traversant a"
161,Appartement,6,4,185.0,,non défini,non défini,895000,3697,Lyon 3ème,"A 2 pas de la place St Anne et de la Part Dieu, pour les amoureux des appartements avec l esprit loft, venez découvrir ces 18"
162,Appartement,3,2,73.0,,non défini,non défini,599000,2477,Lyon 2ème,CORDELIERS - Au 4ème étage d'un magnifique immeuble ancien aux parties communes entretenues - Appartement T3 de 73m² à rénove
163,Appartement,3,2,57.0,,non défini,non défini,359000,1488,Lyon 7ème,"À PROXIMITÉ IMMÉDIATE DES TRANSPORTS, DES COMMERCES & DES ÉCOLES ! Dans une résidence neuve de standing (sécurisée avec espa"
164,Appartement,3,2,60.0,,non défini,non défini,413000,1711,Lyon 8ème,"À PROXIMITÉ IMMÉDIATE DES TRANSPORTS, DES COMMERCES & DES ÉCOLES ! Dans une résidence neuve de standing (sécurisée avec espa"
165,Appartement,4,3,100.0,,non défini,non défini,649000,2683,Lyon 3ème,"À PROXIMITÉ IMMÉDIATE DES TRANSPORTS, DES COMMERCES & DES ÉCOLES ! Dans une résidence neuve de standing (sécurisée avec espa"
166,Appartement,4,3,80.0,,non défini,non défini,390000,1616,Lyon 8ème,"À PROXIMITÉ IMMÉDIATE DES TRANSPORTS, DES COMMERCES & DES ÉCOLES ! Dans une résidence neuve de standing (sécurisée avec espa"
167,Appartement,3,2,63.0,,non défini,non défini,364000,1509,Lyon 9ème,"À PROXIMITÉ IMMÉDIATE DES TRANSPORTS, DES COMMERCES & DES ÉCOLES ! Dans une résidence neuve de standing (sécurisée avec espa"
168,Appartement,4,3,81.0,,non défini,non défini,439000,1818,Lyon 9ème,"Nous vous proposons ce T4 en rez-de-jardin de 80,86 m² sur Lyon 9, limite 5ème. Il se compose de 3 chambres dont une avec ter"
169,Appartement,5,,135.0,,non défini,non défini,897000,3705,Lyon 6ème,"En plein coeur du triangle d'Or, idéalement placé et à proximité des quais du Rhône. Bel appartement T5 lumineux et traversan"
170,Appartement,3,2,75.0,,non défini,non défini,369000,1530,Lyon 3ème,Villette
171,Appartement,3,2,65.0,,non défini,non défini,350000,Chavril,Contenu sponsorisé,Exclusivité
172,Appartement,4,3,85.0,,non défini,non défini,430000,1781,Lyon 8ème,"Dans résidence neuve'Oasis Park', dans un parc aux arbres centenaires, rue Chantal Sandrin. Au 6ème étage T4 de 85 m² l'appa"
173,Appartement,4,2,82.0,,non défini,non défini,370000,1534,Lyon 3ème,Montchat
174,Appartement,2,1,44.02,,non défini,non défini,215000,MétroCuire,Contenu sponsorisé,Exclusivité
175,Appartement,4,2,61.0,,non défini,non défini,168000,701,Lyon 9ème,Gorge du Loup-Champvert
176,Appartement,4,2,69.0,,non défini,non défini,250000,1039,Lyon 5ème,Point du Jour-Ménival
177,Appartement,5,4,141.0,,non défini,non défini,990000,4089,Lyon 6ème,Tête d'Or-Foch-Vitton
178,Appartement,5,3,114.0,,non défini,non défini,650000,2687,Lyon 3ème,Villette
179,Appartement,5,3,114.0,,non défini,non défini,650000,2687,Lyon 3ème,Villette
180,Appartement,4,3,96.0,,non défini,non défini,599000,2477,Lyon 2ème,Perrache-Le Confluent
181,Appartement,4,3,100.0,,non défini,non défini,520000,2152,Lyon 3ème,Montchat
182,Appartement,2,1,50.0,,non défini,non défini,289000,1200,Lyon 3ème,Montchat
183,Appartement,5,4,122.0,,non défini,non défini,557000,2304,Lyon 2ème,Perrache-Le Confluent
184,Appartement,3,2,63.0,,non défini,non défini,286000,1188,Lyon 8ème,Transvaal
185,Appartement,4,3,82.0,,non défini,non défini,465000,1925,Lyon 7ème,Gerland
186,Appartement,5,3,102.0,,non défini,non défini,349000,1447,Lyon 8ème,Transvaal
187,Appartement,2,1,47.0,,non défini,non défini,249000,1035,Lyon 3ème,Part Dieu
188,Appartement,3,2,58.73,,non défini,non défini,192000,Montessuy,Contenu sponsorisé,Exclusivité
189,Appartement,4,3,105.0,,non défini,non défini,595000,2461,Lyon 2ème,Cordeliers-Célestins-Bourse
190,Appartement,2,1,67.0,,non défini,non défini,300000,1245,Lyon 1er,Saint Vincent
191,Appartement,2,1,59.0,,non défini,non défini,333000,1381,Lyon 3ème,Part Dieu
192,Appartement,4,3,91.0,,non défini,non défini,370000,1534,Lyon 5ème,Point du Jour-Ménival
193,Appartement,3,2,75.0,,non défini,non défini,426000,1764,Lyon 7ème,Gerland
194,Appartement,4,3,96.0,,non défini,non défini,420000,1740,Lyon 3ème,Villette
195,Appartement,3,2,55.0,,non défini,non défini,299000,1241,Lyon 3ème,"Quartier Monplaisir / Lumière, venez découvrir cet appartement T3 rénové récemment et traversant Est/Ouest de 55.40 m² carrez"
196,Appartement,4,2,65.0,,non défini,non défini,199000,829,Lyon 5ème,Champvert-Point du Jour-Saint Irénée
197,Appartement,4,2,138.0,,non défini,non défini,797000,3293,Lyon 1er,"Proche Opéra, dans bel immeuble ancien bien entretenu avec ascenseur, prestations haut de gamme pour ce T 4 atypique de carac"
198,Appartement,5,4,142.0,,non défini,non défini,830000,3429,Lyon 4ème,Plateau de la Croix Rousse-Saône
199,Appartement,1,,18.0,,non défini,oui,70000,297,Lyon 9ème,Vaise-Rochecardon-Industrie
