,type_appartement,nombre_pièces,nombre_chambres,surface,étage,terasse,ascenceur,prix_achat,credit,localisation,description
3107,Appartement,3,2,70.0,,non défini,non défini,390000,1616,Lyon 5ème,Sauvegarder
3108,Appartement,2,1,42.0,,non défini,non défini,228000,949,Lyon 9ème,Sauvegarder
3109,Appartement,2,11,44.0,,non défini,non défini,229900,956,Lyon 9ème,Sauvegarder
3110,Appartement,3,2,62.0,,non défini,non défini,349000,1447,Lyon 1er,Sauvegarder
3111,Appartement,2,1,39.0,,non défini,non défini,279300,1160,Lyon 3ème,Sauvegarder
3112,Appartement,2,1,46.0,,non défini,non défini,389000,1612,Lyon 1er,Sauvegarder
3113,Appartement,1,,22.0,,non défini,oui,170000,710,Lyon 7ème,Sauvegarder
3114,Appartement,4,3,84.0,,non défini,non défini,762000,3149,Lyon 3ème,Sauvegarder
3115,Appartement,1,,21.0,2,non défini,non défini,169000,705,Lyon 3ème,Sauvegarder
3116,Appartement,5,4,90.0,,non défini,non défini,812000,3355,Lyon 4ème,Sauvegarder
3117,Appartement,3,2,73.0,,non défini,non défini,407460,1688,Lyon 9ème,Sauvegarder
3118,Appartement,3,2,77.0,,non défini,non défini,396479,1643,Lyon 9ème,Sauvegarder
3119,Appartement,3,2,87.0,,non défini,non défini,470000,1946,Lyon 4ème,Sauvegarder
3120,Appartement,1,,25.0,4,non défini,non défini,200000,833,Lyon 2ème,Sauvegarder
3121,Appartement,2,1,38.0,,non défini,non défini,310000,1286,Lyon 5ème,Sauvegarder
3122,Appartement,4,2,75.0,,non défini,non défini,395000,1637,Lyon 3ème,Sauvegarder
3123,Appartement,1,,37.0,6,non défini,non défini,315000,1307,Lyon 6ème,Sauvegarder
3124,Appartement,1,,41.0,,1,non défini,214500,893,Lyon 3ème,Sauvegarder
3125,Appartement,4,3,83.0,,non défini,non défini,482000,1995,Lyon 5ème,Sauvegarder
3126,Appartement,2,1,54.0,,non défini,non défini,348000,1443,Lyon 3ème,Sauvegarder
3127,Appartement,4,3,83.0,,non défini,non défini,621000,2568,Lyon 3ème,Sauvegarder
3128,Appartement,4,3,92.0,,non défini,non défini,497000,2057,Lyon 9ème,Sauvegarder
3129,Appartement,1,,20.0,,non défini,oui,136000,569,Lyon 7ème,Sauvegarder
3130,Appartement,1,,23.0,5,non défini,non défini,205000,854,Lyon 1er,Sauvegarder
3131,Appartement,1,,23.0,5,non défini,non défini,205000,854,Lyon 1er,Sauvegarder
3132,Appartement,2,1,48.0,,non défini,non défini,285000,1183,Lyon 8ème,Sauvegarder
3133,Appartement,5,4,95.0,,non défini,non défini,495000,2049,Lyon 9ème,Sauvegarder
3134,Appartement,3,2,59.0,,non défini,non défini,333000,1381,Lyon 8ème,Sauvegarder
3135,Appartement,3,2,63.0,,non défini,non défini,446000,1847,Lyon 3ème,Sauvegarder
3136,Appartement,2,,33.0,4,non défini,non défini,240000,998,Lyon 1er,Sauvegarder
3137,Appartement,2,1,60.0,,non défini,non défini,235000,977,Lyon 2ème,Sauvegarder
3138,Appartement,1,,18.0,,non défini,oui,67000,285,Lyon 7ème,Sauvegarder
3139,Appartement,3,2,72.0,,non défini,non défini,440000,1822,Lyon 6ème,Sauvegarder
3140,Appartement,4,3,113.0,,non défini,non défini,520000,2152,Lyon 2ème,Sauvegarder
3141,Appartement,2,1,29.0,,non défini,non défini,178000,743,Lyon 8ème,Sauvegarder
3142,Appartement,5,4,157.0,,non défini,non défini,1233500,5092,Lyon 9ème,Sauvegarder
3143,Appartement,3,2,74.0,,non défini,non défini,442550,1833,Lyon 9ème,Sauvegarder
3144,Appartement,3,2,60.0,,non défini,non défini,414000,1715,Lyon 8ème,Sauvegarder
3145,Appartement,2,1,44.0,,non défini,non défini,319200,1324,Lyon 2ème,Sauvegarder
3146,Appartement,5,4,144.0,,non défini,non défini,1290353,5326,Lyon 2ème,Sauvegarder
3147,Appartement,3,2,67.0,,non défini,non défini,484000,2003,Lyon 5ème,Sauvegarder
3148,Appartement,4,3,113.0,,non défini,non défini,520000,2152,Lyon 1er,Sauvegarder
3149,Appartement,3,2,67.0,,non défini,non défini,406250,1683,Lyon 9ème,Sauvegarder
3150,Appartement,3,2,118.0,,non défini,non défini,720000,2976,Lyon 2ème,Sauvegarder
3151,Appartement,4,3,83.0,,non défini,non défini,630000,2605,Lyon 2ème,À voir sur Belles Demeures
3152,Appartement,1,,21.0,2,non défini,non défini,150000,627,Lyon 8ème,Sauvegarder
3153,Appartement,1,,35.0,,1,non défini,284000,1179,Lyon 3ème,Sauvegarder
3154,Appartement,2,1,25.0,,non défini,non défini,156000,652,Lyon 2ème,Sauvegarder
3155,Appartement,1,,53.0,,non défini,non défini,375000,1554,Lyon 1er,Sauvegarder
3156,Appartement,4,3,96.0,,non défini,non défini,766000,3165,Lyon 5ème,Sauvegarder
3157,Appartement,3,2,73.0,,non défini,non défini,462460,1915,Lyon 9ème,Sauvegarder
3158,Appartement,2,1,24.0,,non défini,non défini,165000,689,Lyon 1er,Sauvegarder
3159,Appartement,1,,18.0,,non défini,oui,115000,483,Lyon 9ème,Sauvegarder
3160,Appartement,2,1,51.0,,non défini,non défini,374000,1550,Lyon 4ème,Sauvegarder
3161,Appartement,1,,19.0,,1,non défini,195000,813,Lyon 1er,Sauvegarder
3162,Appartement,3,2,75.0,,non défini,non défini,438925,1818,Lyon 9ème,Sauvegarder
3163,Appartement,3,1,91.0,,non défini,non défini,840000,3470,Lyon 2ème,Sauvegarder
3164,Appartement,4,3,101.0,,non défini,non défini,802700,3317,Lyon 2ème,Sauvegarder
3165,Appartement,2,1,42.0,,non défini,non défini,261000,1085,Lyon 8ème,Sauvegarder
3166,Appartement,2,14,44.0,,non défini,non défini,222900,928,Lyon 9ème,Sauvegarder
3167,Appartement,3,2,68.0,,non défini,non défini,441000,1826,Lyon 3ème,Sauvegarder
3168,Appartement,2,1,52.0,,non défini,non défini,210000,874,Lyon 1er,Sauvegarder
3169,Appartement,3,2,69.0,,non défini,non défini,571353,2363,Lyon 2ème,Sauvegarder
3170,Appartement,4,3,87.0,,non défini,non défini,619353,2561,Lyon 2ème,Sauvegarder
3171,Appartement,1,,19.0,,non défini,oui,127000,532,Lyon 7ème,Sauvegarder
3172,Appartement,3,2,74.0,,non défini,non défini,445520,1845,Lyon 9ème,Sauvegarder
3173,Appartement,5,4,144.0,,non défini,non défini,1290353,5326,Lyon 2ème,Sauvegarder
3174,Appartement,3,2,50.0,,non défini,non défini,309900,1286,Lyon 1er,Sauvegarder
3175,Appartement,4,3,83.0,,non défini,non défini,378000,1567,Lyon 9ème,Sauvegarder
3176,Appartement,4,3,110.0,,non défini,non défini,950000,3924,Lyon 8ème,Sauvegarder
3177,Appartement,3,2,84.0,,non défini,non défini,384000,1591,Lyon 9ème,Sauvegarder
3178,Appartement,2,1,45.0,,non défini,non défini,270000,1122,Lyon 3ème,Sauvegarder
3179,Appartement,4,3,85.0,,non défini,non défini,487500,2018,Lyon 3ème,Sauvegarder
3180,Appartement,3,2,73.0,,non défini,non défini,444250,1840,Lyon 9ème,Sauvegarder
3181,Appartement,3,2,70.0,,non défini,non défini,493000,2041,Lyon 6ème,Sauvegarder
3182,Appartement,1,,28.0,5,non défini,non défini,218000,907,Lyon 3ème,Sauvegarder
3183,Appartement,4,3,110.0,,non défini,non défini,950000,3924,Lyon 8ème,Sauvegarder
3184,Appartement,4,3,74.0,,non défini,non défini,313500,1301,Lyon 8ème,Sauvegarder
3185,Appartement,3,2,63.0,,non défini,non défini,482679,1998,Lyon 2ème,Sauvegarder
3186,Appartement,4,3,92.0,,non défini,non défini,497000,2057,Lyon 9ème,Sauvegarder
3187,Appartement,5,6,238.0,,non défini,non défini,1650000,6808,Lyon 2ème,Sauvegarder
3188,Appartement,3,2,66.0,,non défini,non défini,149000,623,Lyon 9ème,Sauvegarder
3189,Appartement,1,,31.0,,non défini,non défini,219000,911,Lyon 1er,Sauvegarder
3190,Appartement,5,3,157.0,,non défini,non défini,549000,2271,Lyon 1er,Sauvegarder
3191,Appartement,2,1,55.0,,non défini,non défini,217000,903,Lyon 7ème,Sauvegarder
3192,Appartement,4,3,91.0,,non défini,non défini,599000,2477,Lyon 8ème,Sauvegarder
3193,Appartement,3,2,100.0,,non défini,non défini,736000,3042,Lyon 6ème,À voir sur Belles Demeures
3194,Appartement,5,4,117.0,,non défini,non défini,890000,3676,Lyon 2ème,Sauvegarder
3195,Appartement,4,3,109.0,,non défini,non défini,683500,2826,Lyon 3ème,Sauvegarder
3196,Appartement,1,,39.0,,non défini,oui,230000,957,Lyon 2ème,Sauvegarder
3197,Appartement,3,2,65.0,,non défini,non défini,279000,1159,Lyon 8ème,Sauvegarder
3198,Appartement,4,3,110.0,,non défini,non défini,1050000,4336,Lyon 6ème,À voir sur Belles Demeures
